day,cases
24.02.2020,981
25.02.2020,981
26.02.2020,981
27.02.2020,686
28.02.2020,686
29.02.2020,686
01.03.2020,801
02.03.2020,614
03.03.2020,614
04.03.2020,675
05.03.2020,675
06.03.2020,788
07.03.2020,788
08.03.2020,788
09.03.2020,788
10.03.2020,551
11.03.2020,515
12.03.2020,515
13.03.2020,686
14.03.2020,686
15.03.2020,663
16.03.2020,663
17.03.2020,575
18.03.2020,575
19.03.2020,594
20.03.2020,792
21.03.2020,924
22.03.2020,924
23.03.2020,893
24.03.2020,953
25.03.2020,953
26.03.2020,953
27.03.2020,953
28.03.2020,953
29.03.2020,1271
30.03.2020,1271
31.03.2020,1271
01.04.2020,1271
02.04.2020,1271
03.04.2020,1271
04.04.2020,1271
05.04.2020,1313
06.04.2020,1707
07.04.2020,1707
08.04.2020,1252
09.04.2020,1001
10.04.2020,1001
11.04.2020,1001
12.04.2020,1001
13.04.2020,1001
14.04.2020,1001
15.04.2020,1001
16.04.2020,734
17.04.2020,734
18.04.2020,563
19.04.2020,600
20.04.2020,580
21.04.2020,580
22.04.2020,580
23.04.2020,638
24.04.2020,638
25.04.2020,638
26.04.2020,638
27.04.2020,489
28.04.2020,489
29.04.2020,375
30.04.2020,325
01.05.2020,325
02.05.2020,303
03.05.2020,334
04.05.2020,334
05.05.2020,334
06.05.2020,256
07.05.2020,315
08.05.2020,273
09.05.2020,273
10.05.2020,273
11.05.2020,310
12.05.2020,413
13.05.2020,482
14.05.2020,482
15.05.2020,482
16.05.2020,482
17.05.2020,321
18.05.2020,278
19.05.2020,278
20.05.2020,362
21.05.2020,350
22.05.2020,350
23.05.2020,350
24.05.2020,385
25.05.2020,385
26.05.2020,321
27.05.2020,364
28.05.2020,473
29.05.2020,473
30.05.2020,631
31.05.2020,631
01.06.2020,631
02.06.2020,820
03.06.2020,820
04.06.2020,547
05.06.2020,401
06.06.2020,401
07.06.2020,267
08.06.2020,294
09.06.2020,313
10.06.2020,209
11.06.2020,209
12.06.2020,167
13.06.2020,167
14.06.2020,167
15.06.2020,223
16.06.2020,156
17.06.2020,156
18.06.2020,192
19.06.2020,192
20.06.2020,192
21.06.2020,192
22.06.2020,186
23.06.2020,223
24.06.2020,268
25.06.2020,268
26.06.2020,223
27.06.2020,223
28.06.2020,216
29.06.2020,216
30.06.2020,165
01.07.2020,171
02.07.2020,171
03.07.2020,171
04.07.2020,193
05.07.2020,193
06.07.2020,193
07.07.2020,206
08.07.2020,151
09.07.2020,151
10.07.2020,151
11.07.2020,192
12.07.2020,204
13.07.2020,204
14.07.2020,157
15.07.2020,115
16.07.2020,103
17.07.2020,96
18.07.2020,70
19.07.2020,56
20.07.2020,56
21.07.2020,51
22.07.2020,51
23.07.2020,54
24.07.2020,54
25.07.2020,54
26.07.2020,54
27.07.2020,54
28.07.2020,52
29.07.2020,52
30.07.2020,35
31.07.2020,35
01.08.2020,35
02.08.2020,35
03.08.2020,35
04.08.2020,25
05.08.2020,25
06.08.2020,25
07.08.2020,20
08.08.2020,19
09.08.2020,19
10.08.2020,25
11.08.2020,25
12.08.2020,33
13.08.2020,28
14.08.2020,28
15.08.2020,28
16.08.2020,28
17.08.2020,28
18.08.2020,28
19.08.2020,28
20.08.2020,35
21.08.2020,46
22.08.2020,33
23.08.2020,33
24.08.2020,43
25.08.2020,48
26.08.2020,48
27.08.2020,45
28.08.2020,45
29.08.2020,45
30.08.2020,50
31.08.2020,55
01.09.2020,55
02.09.2020,45
03.09.2020,45
04.09.2020,53
05.09.2020,48
06.09.2020,48
07.09.2020,48
08.09.2020,59
09.09.2020,59
10.09.2020,69
11.09.2020,69
12.09.2020,46
13.09.2020,41
14.09.2020,33
15.09.2020,33
16.09.2020,38
17.09.2020,40
18.09.2020,46
19.09.2020,46
20.09.2020,46
21.09.2020,62
22.09.2020,58
23.09.2020,58
24.09.2020,42
25.09.2020,44
26.09.2020,44
27.09.2020,42
28.09.2020,39
29.09.2020,34
30.09.2020,26
01.10.2020,26
02.10.2020,24
03.10.2020,24
04.10.2020,31
05.10.2020,31
06.10.2020,21
07.10.2020,23
08.10.2020,19
09.10.2020,19
10.10.2020,19
11.10.2020,14
12.10.2020,18
13.10.2020,12
14.10.2020,13
15.10.2020,13
16.10.2020,13
17.10.2020,13
18.10.2020,8
19.10.2020,8
20.10.2020,8
21.10.2020,7
22.10.2020,6
23.10.2020,6
24.10.2020,6
25.10.2020,5
26.10.2020,5
27.10.2020,6
28.10.2020,5
29.10.2020,7
30.10.2020,7
31.10.2020,8
01.11.2020,8
02.11.2020,7
03.11.2020,9
04.11.2020,9
05.11.2020,9
06.11.2020,9
07.11.2020,12
08.11.2020,10
09.11.2020,10
10.11.2020,10
11.11.2020,8
12.11.2020,8
13.11.2020,7
14.11.2020,6
15.11.2020,6
16.11.2020,6
17.11.2020,4
18.11.2020,5
19.11.2020,5
20.11.2020,4
21.11.2020,5
22.11.2020,5
23.11.2020,6
24.11.2020,6
